nodes,p,graph_name,method,execution_time,graph_path
40000,0.5,p7_c3,p7_c3,1170.0334167480469,graph-nodes-40000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-13:02:38.txt
30000,0.5,p7_c3,p7_c3,674.4305624961853,graph-nodes-30000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:04:07.txt
35000,0.5,p7_c3,p7_c3,930.5700681209564,graph-nodes-35000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-12:57:17.txt
5000,0.5,p7_c3,p7_c3,48.70639967918396,graph-nodes-5000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:10.txt
25000,0.5,p7_c3,p7_c3,442.96527552604675,graph-nodes-25000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:02:22.txt
2000,0.5,p7_c3,p7_c3,2.4687345027923584,graph-nodes-2000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:06.txt
20000,0.5,p7_c3,p7_c3,261.6587677001953,graph-nodes-20000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:01:11.txt
50000,0.5,p7_c3,p7_c3,1867.1850836277008,graph-nodes-50000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-13:49:24.txt
100,0.5,p7_c3,p7_c3,0.061177730560302734,graph-nodes-100-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-12:59:51.txt
3000,0.5,p7_c3,p7_c3,4.6740124225616455,graph-nodes-3000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:06.txt
45000,0.5,p7_c3,p7_c3,1397.221962928772,graph-nodes-45000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-13:18:13.txt
10000,0.5,p7_c3,p7_c3,63.01756572723389,graph-nodes-10000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:21.txt
1000,0.5,p7_c3,p7_c3,0.7029373645782471,graph-nodes-1000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-12:59:55.txt
15000,0.5,p7_c3,p7_c3,147.20317268371582,graph-nodes-15000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:35.txt
500,0.5,p7_c3,p7_c3,0.3642587661743164,graph-nodes-500-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-12:59:51.txt
4000,0.5,p7_c3,p7_c3,9.110023498535156,graph-nodes-4000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:08.txt
7500,0.5,p7_c3,p7_c3,32.59751534461975,graph-nodes-7500-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:00:14.txt
