nodes,p,graph_name,method,execution_time,graph_path
1000,0.03,locally_connected,sat,6.078381299972534,graph-nodes-1000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:03.txt
500,0.03,locally_connected,sat_formula,1.904284954071045,graph-nodes-500-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:59.txt
500,0.03,locally_connected,sat_solving,0.03022313117980957,graph-nodes-500-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:59.txt
500,0.03,locally_connected,sat,1.9366815090179443,graph-nodes-500-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:59.txt
100,0.03,locally_connected,sat_formula,0.11560654640197754,graph-nodes-100-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:58.txt
100,0.03,locally_connected,sat_solving,0.008316278457641602,graph-nodes-100-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:58.txt
100,0.03,locally_connected,sat,0.12599825859069824,graph-nodes-100-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:08:58.txt
4000,0.03,locally_connected,sat_formula,70.35950922966003,graph-nodes-4000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:48.txt
4000,0.03,locally_connected,sat_solving,0.8826241493225098,graph-nodes-4000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:48.txt
4000,0.03,locally_connected,sat,71.24423623085022,graph-nodes-4000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:09:48.txt
30000,0.03,locally_connected,sat_formula,3701.863883495331,graph-nodes-30000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-17:04:26.txt
30000,0.03,locally_connected,sat_solving,52.35774636268616,graph-nodes-30000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-17:04:26.txt
30000,0.03,locally_connected,sat,3754.2239620685577,graph-nodes-30000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-17:04:26.txt
10000,0.03,locally_connected,sat_formula,414.22060990333557,graph-nodes-10000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:17:29.txt
10000,0.03,locally_connected,sat_solving,4.838713645935059,graph-nodes-10000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:17:29.txt
10000,0.03,locally_connected,sat,419.061402797699,graph-nodes-10000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-13:17:29.txt
40000,0.03,locally_connected,sat_formula,6629.708683729172,graph-nodes-40000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-27-05-2023-18:30:58.txt
