nodes,p,graph_name,method,execution_time,graph_path
8000,0.1,planar,sat,6.632424354553223,graph-nodes-8000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-04:52:49.txt
8000,0.1,planar,planar,2.153087615966797,graph-nodes-8000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-04:52:49.txt
100,0.1,planar,sat_formula,0.08240723609924316,graph-nodes-100-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:27.txt
100,0.1,planar,sat_solving,0.006194591522216797,graph-nodes-100-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:27.txt
100,0.1,planar,sat,0.09789609909057617,graph-nodes-100-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:27.txt
100,0.1,planar,planar,0.0029709339141845703,graph-nodes-100-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:09:27.txt
6000,0.1,planar,sat_formula,4.5128443241119385,graph-nodes-6000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-12:35:50.txt
6000,0.1,planar,sat_solving,0.08499670028686523,graph-nodes-6000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-12:35:50.txt
6000,0.1,planar,sat,4.987745761871338,graph-nodes-6000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-12:35:50.txt
6000,0.1,planar,planar,1.2564551830291748,graph-nodes-6000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-27-05-2023-12:35:50.txt
3000,0.1,planar,sat_formula,2.221285104751587,graph-nodes-3000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:20:29.txt
3000,0.1,planar,sat_solving,0.0436098575592041,graph-nodes-3000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:20:29.txt
3000,0.1,planar,sat,2.462205648422241,graph-nodes-3000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:20:29.txt
3000,0.1,planar,planar,0.3210141658782959,graph-nodes-3000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:20:29.txt
10000,0.1,planar,sat_formula,7.413754940032959,graph-nodes-10000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-29-05-2023-21:26:33.txt
10000,0.1,planar,sat_solving,0.14305830001831055,graph-nodes-10000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-29-05-2023-21:26:33.txt
10000,0.1,planar,sat,8.2585928440094,graph-nodes-10000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-29-05-2023-21:26:33.txt
10000,0.1,planar,planar,3.2529468536376953,graph-nodes-10000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-29-05-2023-21:26:33.txt
