nodes,p,graph_name,method,execution_time,graph_path,colors
8000,0.1,planar,largest_first,0.011898517608642578,graph-nodes-8000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-04:52:49.txt,4
9000,0.1,planar,largest_first,0.01367497444152832,graph-nodes-9000-p-0.1-path-None-cycle-3-planar-True-diameter-None-locally_connected-None-shuffle-True-28-05-2023-21:35:11.txt,4
25000,0.03,locally_connected,largest_first,1.777961254119873,graph-nodes-25000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-14:59:48.txt,139
25000,0.5,p7_c3,largest_first,8.336926221847534,graph-nodes-25000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:02:22.txt
30000,0.03,locally_connected,largest_first,2.654123306274414,graph-nodes-30000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-26-05-2023-17:04:26.txt,161
30000,0.5,p7_c3,largest_first,12.185103178024292,graph-nodes-30000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-26-05-2023-13:04:07.txt
35000,0.03,locally_connected,largest_first,3.8179054260253906,graph-nodes-35000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-27-05-2023-12:35:24.txt,183
35000,0.5,p7_c3,largest_first,15.519842863082886,graph-nodes-35000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-12:57:17.txt
40000,0.03,locally_connected,largest_first,5.152465105056763,graph-nodes-40000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-27-05-2023-18:30:58.txt,205
40000,0.5,p7_c3,largest_first,19.733389377593994,graph-nodes-40000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-13:02:38.txt
45000,0.03,locally_connected,largest_first,6.810593843460083,graph-nodes-45000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-03:26:00.txt,226
45000,0.5,p7_c3,largest_first,22.900659799575806,graph-nodes-45000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-13:18:13.txt
50000,0.03,locally_connected,largest_first,8.569908618927002,graph-nodes-50000-p-0.03-path-None-cycle-None-planar-None-diameter-None-locally_connected-True-shuffle-True-28-05-2023-15:36:42.txt,246
50000,0.5,p7_c3,largest_first,34.35187125205994,graph-nodes-50000-p-0.5-path-7-cycle-3-planar-None-diameter-None-locally_connected-None-shuffle-True-29-05-2023-13:49:24.txt
